"category";"name";"description";"level"
"Agriculture";"Agricultural technician";"I assist farming operations, test soil, and advise on crops.";"2"
"Agriculture";"Farmer";"I grow crops, take care of plants, and manage agricultural tasks daily.";"1"
"Agriculture";"Fisherman";"I catch fish, maintain equipment, and sell or deliver the catch.";"1"
"Agriculture";"Lumberjack";"I cut trees, prepare timber, and maintain forest areas safely.";"1"
"Agriculture";"Rancher";"I raise livestock, feed animals, and maintain ranch property.";"1"
"Arts";"Actor";"I perform roles on stage or screen, memorize lines, and show emotions.";"1"
"Arts";"Choreographer";"I create dance routines, direct performances, and train dancers.";"2"
"Arts";"Comedian";"I perform comedy shows, write jokes, and entertain people with humor.";"1"
"Arts";"Dancer";"I perform dance routines, practice choreography, and entertain audiences.";"1"
"Arts";"Musician";"I play instruments, sing, and perform music for audiences or recordings.";"1"
"Arts";"Painter";"I create paintings, choose colors, and express ideas visually.";"1"
"Arts";"Sculptor";"I create sculptures, work with materials, and design artistic pieces.";"2"
"Beauty";"Barber";"I cut and style men's hair, trim beards, and offer grooming advice.";"1"
"Beauty";"Esthetician";"I provide skin treatments, facials, and advice for healthy skin.";"2"
"Beauty";"Hairdresser";"I cut, style, and color hair, advise clients on new hairstyles and trends.";"1"
"Beauty";"Makeup artist";"I apply makeup for events, photoshoots, and advise on beauty styles.";"2"
"Beauty";"Manicurist";"I clean, shape, and polish nails and suggest nail art or treatments.";"1"
"Business";"Accountant";"I manage financial records, prepare taxes, and advise on budgets.";"2"
"Business";"Banker";"I manage client accounts, give financial advice, and assist with loans.";"2"
"Business";"CEO";"I lead a company, make strategic decisions, and supervise executives daily.";"3"
"Business";"Consultant";"I provide advice to companies to improve strategy, efficiency, and growth.";"2"
"Business";"Entrepreneur";"I start and run my own business, take risks, and manage operations.";"2"
"Business";"Entrepreneur coach";"I advise small business owners on strategy, growth, and planning.";"3"
"Business";"Receptionist";"I greet visitors, answer calls, schedule appointments, and assist clients.";"1"
"Cinema";"Actor";"I perform in movies or theater, memorize lines, and express characters.";"1"
"Cinema";"Film director";"I guide actors, manage filming, and shape the visual storytelling.";"2"
"Cinema";"Producer";"I finance, plan, and supervise films or TV productions from start to end.";"2"
"Cinema";"Screenwriter";"I write scripts, create dialogues, and develop story ideas for media.";"2"
"Commerce";"Cashier";"I handle payments, give change, and provide receipts to customers daily.";"1"
"Commerce";"E-commerce manager";"I manage online stores, products, and sales strategy digitally.";"2"
"Commerce";"Salesperson";"I sell products, answer questions, and help customers choose items.";"1"
"Commerce";"Shop assistant";"I help customers, organize products, and answer questions about items.";"1"
"Commerce";"Store manager";"I supervise staff, manage inventory, and ensure smooth store operations.";"2"
"Commerce";"Street vendor";"I sell products outdoors, attract customers, and handle money safely.";"1"
"Construction";"Architect";"I design buildings, create plans, and ensure safety and aesthetics.";"2"
"Construction";"Carpenter";"I build and repair wooden furniture, doors, and structural components.";"1"
"Construction";"Construction worker";"I build structures, carry materials, and follow construction plans.";"1"
"Construction";"Electrician";"I install and repair electrical wiring, outlets, and lighting systems.";"1"
"Construction";"Interior designer";"I design indoor spaces, choose colors, furniture, and decorations.";"2"
"Construction";"Plumber";"I fix pipes, install water systems, and handle leaks in buildings.";"1"
"Construction";"Roofer";"I install and repair roofs, ensure protection against weather elements.";"1"
"Construction";"Surveyor";"I measure land, check boundaries, and help plan building projects.";"2"
"Customer Service";"Call center agent";"I answer calls, provide information, and resolve client problems.";"1"
"Customer Service";"Customer service agent";"I assist customers with questions, complaints, and solutions daily.";"1"
"Customer Service";"Support specialist";"I help clients solve technical or service-related issues professionally.";"1"
"Education";"Counselor";"I advise students on courses, career options, and personal development.";"2"
"Education";"Librarian";"I organize books, help readers find materials, and manage library resources.";"1"
"Education";"Principal";"I manage school staff, organize programs, and ensure rules are followed.";"2"
"Education";"Professor";"I teach at university, give lectures, and guide student research projects.";"2"
"Education";"Student";"I attend classes, study lessons, complete assignments, and ask questions.";"1"
"Education";"Teacher";"I teach subjects, prepare lessons, grade work, and help students learn.";"1"
"Education";"Tutor";"I support students individually, explain lessons, and help them improve skills.";"1"
"Employment";"Homemaker";"I manage household tasks, care for family, and organize daily routines.";"1"
"Employment";"HR specialist";"I hire staff, manage employee relations, and oversee company policies.";"2"
"Employment";"Recruiter";"I find qualified candidates, interview them, and help hire employees.";"2"
"Employment";"Unemployed";"I am currently looking for a job, sending resumes, and attending interviews.";"1"
"Events";"DJ";"I play music, mix tracks, and entertain audiences at parties or events.";"1"
"Events";"Event planner";"I organize parties, weddings, and meetings, coordinating all details.";"2"
"Events";"Master of ceremonies";"I host events, introduce speakers, and keep the program flowing.";"2"
"Events";"Wedding planner";"I coordinate weddings, schedule vendors, and ensure smooth celebrations.";"2"
"Gastronomy";"Barista";"I make coffee, espresso drinks, and advise customers on beverages.";"1"
"Gastronomy";"Barista";"I prepare coffee, espresso drinks, and recommend beverages to customers.";"1"
"Gastronomy";"Bartender";"I mix cocktails, serve drinks, and keep the bar clean and organized.";"1"
"Gastronomy";"Bartender";"I mix cocktails, serve drinks, and keep the bar organized and clean.";"1"
"Gastronomy";"Chef";"I create recipes, cook meals, and supervise kitchen staff in restaurants.";"1"
"Gastronomy";"Chef";"I create recipes, cook meals, and supervise kitchen staff in restaurants.";"1"
"Gastronomy";"Cook";"I prepare daily meals, follow recipes, and keep the kitchen organized.";"1"
"Gastronomy";"Cook";"I prepare daily meals, follow recipes, and maintain kitchen cleanliness.";"1"
"Gastronomy";"Pastry chef";"I make desserts, pastries, and baked goods with creative decoration.";"2"
"Gastronomy";"Pastry chef";"I make desserts, pastries, and decorative baked goods for clients.";"2"
"Gastronomy";"Sommelier";"I suggest wines, pair drinks with food, and explain flavors to clients.";"3"
"Gastronomy";"Sommelier";"I recommend wines, pair them with dishes, and explain flavors to guests.";"3"
"Gastronomy";"Waiter";"I serve food and drinks, take orders, and help customers in the restaurant.";"1"
"Gastronomy";"Waiter";"I take orders, serve food, answer questions, and ensure customer satisfaction.";"1"
"Health";"Dentist";"I examine teeth, perform checkups, treat cavities, and advise on oral hygiene";"1"
"Health";"Doctor";"I examine patients, diagnose illnesses, prescribe treatments, and follow up regularly";"1"
"Health";"Doctor";"I examine patients, diagnose illnesses, prescribe treatments, and follow up.";"1"
"Health";"Nurse";"I provide care to patients, check vital signs, and assist doctors daily.";"1"
"Health";"Nutritionist";"I create healthy meal plans, advise diets, and promote long-term wellbeing ";"2"
"Health";"Optometrist";"I check vision, prescribe glasses, and detect eye problems early. ";"2"
"Health";"Pharmacist";"I dispense medicines, explain usage, and check prescriptions for safety. ";"2"
"Health";"Physical therapist";"I guide exercises, help recovery, and improve patients' movement ";"2"
"Health";"Psychiatrist";"I diagnose mental illnesses, prescribe medications, and guide therapy sessions";"3"
"Health";"Psychologist";"I talk with patients, help them manage emotions, and solve mental challenges";"2"
"Health";"Therapist";"I counsel people, help manage stress, and support emotional challenges ";"2"
"Healthcare";"Paramedic";"I respond to emergencies, provide first aid, and transport patients safely.";"2"
"Hospitality";"Event coordinator";"I organize events, schedule staff, and manage logistics smoothly.";"2"
"Hotel";"Concierge";"I help guests with information, reservations, and local recommendations.";"2"
"Hotel";"Hotel manager";"I manage staff, oversee operations, and ensure guests have a pleasant stay.";"2"
"Hotel";"Housekeeper";"I clean rooms, change linens, and maintain hotel hygiene standards.";"1"
"Hotel";"Receptionist";"I check guests in and out, answer questions, and manage bookings daily.";"1"
"Justice";"Defense attorney";"I defend clients against legal charges and advise on strategy.";"3"
"Justice";"Firefighter";"I respond to fires, rescue people, and prevent accidents in emergencies.";"1"
"Justice";"Judge";"I preside over court cases, make decisions, and interpret the law fairly.";"3"
"Justice";"Lawyer";"I represent clients, give legal advice, and defend or prosecute in court.";"2"
"Justice";"Police officer";"I enforce laws, maintain order, and protect citizens from harm.";"1"
"Justice";"Prosecutor";"I present evidence in court and represent the government in criminal cases.";"3"
"Media";"Blogger";"I write articles online, share opinions, and reach audiences through content.";"1"
"Media";"Content creator";"I make videos, write posts, and publish online content regularly.";"1"
"Media";"Editor";"I review, correct, and improve written or video content before publishing.";"2"
"Media";"Journalist";"I research, write news articles, and report stories for media outlets.";"1"
"Media";"Photographer";"I take photos, set up lighting, and edit images for publications.";"1"
"Media";"Radio host";"I present shows, interview guests, and entertain listeners on the radio.";"1"
"Media";"TV presenter";"I present news or shows, introduce guests, and communicate with viewers.";"1"
"Politics";"Council member";"I participate in city government and help create local policies.";"2"
"Politics";"Governor";"I manage state administration, enforce laws, and oversee public services.";"3"
"Politics";"Mayor";"I lead city government, organize programs, and represent citizens publicly.";"2"
"Politics";"President";"I lead the country, make national decisions, and represent the nation abroad.";"3"
"Politics";"Senator";"I propose, debate, and vote on laws affecting the country.";"3"
"Residential";"Babysitter";"I take care of children, feed them, and ensure their safety at home.";"1"
"Residential";"Caretaker";"I maintain property, handle repairs, and ensure safety of buildings.";"1"
"Residential";"Cleaner";"I clean houses or offices, dust furniture, and organize spaces daily.";"1"
"Residential";"Doorman";"I welcome residents, open doors, and provide security and assistance.";"1"
"Residential";"Maid";"I clean rooms, wash clothes, and help keep households organized.";"1"
"Residential";"Nanny";"I care for children, help with homework, and manage routines.";"1"
"Residential";"Painter";"I paint walls, buildings, and sometimes decorative surfaces professionally.";"1"
"Science";"Astronomer";"I study stars, planets, and celestial events, analyze data from telescopes.";"3"
"Science";"Biologist";"I study animals, plants, and living systems to understand nature.";"2"
"Science";"Chemist";"I study chemicals, test reactions, and develop compounds for uses.";"2"
"Science";"Engineer";"I design machines, structures, or systems to solve technical problems.";"2"
"Science";"Physicist";"I study natural laws, conduct experiments, and explain phenomena.";"2"
"Science";"Researcher";"I investigate topics, collect information, and publish scientific findings.";"2"
"Science";"Scientist";"I perform experiments, study data, and make discoveries in my field.";"2"
"Security";"Bodyguard";"I protect important people, stay alert, and prevent potential dangers.";"2"
"Security";"Lifeguard";"I watch swimmers, prevent accidents, and perform water rescues if needed.";"1"
"Security";"Security guard";"I protect buildings, monitor cameras, and ensure people’s safety daily.";"1"
"Security";"Soldier";"I serve in the armed forces, follow orders, and defend the country.";"2"
"Sports";"Athlete";"I train, compete in sports events, and maintain physical fitness.";"1"
"Sports";"Coach";"I train athletes, plan exercises, and give advice to improve performance.";"1"
"Sports";"Gym instructor";"I teach exercises, correct posture, and motivate clients in workouts.";"1"
"Sports";"Lifeguard";"I monitor pools or beaches, prevent accidents, and perform rescues.";"1"
"Sports";"Personal trainer";"I design fitness programs, guide workouts, and motivate clients.";"1"
"Sports";"Referee";"I enforce rules, make decisions, and ensure fair play in games.";"1"
"Technology";"Cybersecurity specialist";"I protect systems, monitor threats, and prevent data breaches.";"3"
"Technology";"Data analyst";"I collect, analyze, and interpret data to help make business decisions.";"2"
"Technology";"Graphic designer";"I create visual designs, logos, and layouts for media and products.";"1"
"Technology";"IT support specialist";"I troubleshoot technical problems and help users with software issues.";"1"
"Technology";"Programmer";"I write code, fix software bugs, and create programs for computers or apps.";"1"
"Technology";"Software engineer";"I design, develop, and test software systems for various applications.";"2"
"Technology";"Tech lead";"I guide teams on technical projects and ensure code quality and standards.";"3"
"Technology";"UX designer";"I design interfaces, improve user experience, and make apps easy to use.";"2"
"Technology";"Web developer";"I build websites, design pages, and ensure proper functionality online.";"2"
"Transportation";"Bus driver";"I drive buses, follow routes, and assist passengers on their journeys.";"1"
"Transportation";"Delivery driver";"I deliver packages or food quickly and ensure timely service.";"1"
"Transportation";"Flight attendant";"I assist passengers, serve food, and ensure safety during flights.";"1"
"Transportation";"Pilot";"I fly airplanes, follow flight plans, and ensure passenger safety.";"1"
"Transportation";"Ship captain";"I command vessels, navigate routes, and ensure crew safety at sea.";"3"
"Transportation";"Taxi driver";"I drive passengers to destinations and provide a comfortable ride.";"1"
"Transportation";"Train conductor";"I operate trains, check tickets, and ensure passenger safety.";"1"
"Transportation";"Truck driver";"I transport goods safely over long distances and follow traffic rules.";"1"
